duration_label;total_trades;total_pnl_usd;avg_pnl_usd;win_rate;avg_win;avg_loss;max_win;max_loss;rr_ratio;rr_ratio_formatted
120min;5484;259710,0;30,85;48,52;1193,43;-1298,36;11885,0;-13250,0;0,9;1:0.9
15min;5484;-5550,0;-45,11;42,65;513,17;-481,33;6135,0;-3550,0;1,1;1:1.1
180min;5484;1391915,0;214,37;54,03;1465,81;-1595,3;13435,0;-13570,0;0,9;1:0.9
1min;5484;-8960,0;-8,75;47,08;147,38;-148,28;1835,0;-1910,0;1,0;1:1.0
240min;5484;1268430,0;251,97;54,95;1669,99;-1873,05;13635,0;-14160,0;0,9;1:0.9
300min;5484;1348680,0;216,65;50,65;1801,85;-1969,1;17035,0;-15390,0;0,9;1:0.9
360min;5484;1579480,0;305,89;50,52;1892,05;-2191,62;21465,0;-18320,0;0,9;1:0.9
480min;5484;1513595,0;288,56;48,44;2023,63;-2412,69;22590,0;-23955,0;0,8;1:0.8
5min;5484;-16965,0;-23,46;45,7;313,57;-308,37;4845,0;-3330,0;1,0;1:1.0
60min;5484;79850,0;26,49;46,7;944,83;-796,03;9585,0;-5865,0;1,2;1:1.2
EOD;5484;419730,0;206,85;48,12;2020,47;-2655,65;22590,0;-23955,0;0,8;1:0.8
