hour;hour_label;total_trades;profit_trades;stop_trades;win_rate;total_pnl_usd;avg_pnl_usd;sharpe_ratio;profit_factor
0;00:00;8;3;5;37,5;0,0;0,0;0,0;1,0
1;01:00;17;9;8;52,94117647058824;10500,0;617,6470588235294;4,764297368108409;1,875
2;02:00;5;0;5;0,0;-7500,0;-1500,0;0,0;0,0
3;03:00;6;1;5;16,666666666666664;-5000,0;-833,3333333333334;-8,100925873009826;0,3333333333333333
4;04:00;4;2;2;50,0;2000,0;500,0;3,4369317712168805;1,6666666666666667
5;05:00;4;1;3;25,0;-2000,0;-500,0;-3,968626966596886;0,5555555555555556
6;06:00;7;5;2;71,42857142857143;9500,0;1357,142857142857;11,038002536691138;4,166666666666667
7;07:00;5;3;2;60,0;4500,0;900,0;6,521119535785247;2,5
8;08:00;9;2;7;22,22222222222222;-5500,0;-611,1111111111111;-5,5;0,47619047619047616
9;09:00;12;4;8;33,33333333333333;-2000,0;-166,66666666666666;-1,3433865787627925;0,8333333333333334
10;10:00;12;8;4;66,66666666666666;14000,0;1166,6666666666667;9,403706051339547;3,3333333333333335
11;11:00;6;5;1;83,33333333333334;11000,0;1833,3333333333333;17,822036920621617;8,333333333333334
12;12:00;6;4;2;66,66666666666666;7000,0;1166,6666666666667;8,96608192021465;3,3333333333333335
13;13:00;14;6;8;42,857142857142854;3000,0;214,28571428571428;1,655955162436471;1,25
14;14:00;12;2;9;18,181818181818183;-8305,0;-692,0833333333334;-7,00727994887677;0,37037037037037035
15;15:00;61;23;36;38,983050847457626;3255,0;53,36065573770492;0,4375544729205167;1,0648148148148149
16;16:00;56;21;31;40,38461538461539;10810,0;193,03571428571428;1,5853855314514664;1,1290322580645162
17;17:00;51;25;19;56,81818181818182;35660,0;699,2156862745098;5,86374530224303;2,192982456140351
18;18:00;35;15;18;45,45454545454545;11875,0;339,2857142857143;2,740729329923899;1,3888888888888888
19;19:00;30;7;18;28,000000000000004;-8130,0;-271,0;-2,541428676371738;0,6481481481481481
20;20:00;27;9;14;39,130434782608695;2830,0;104,81481481481481;0,8994858828787674;1,0714285714285714
21;21:00;30;5;8;38,46153846153847;5555,0;185,16666666666666;1,9977746420163562;1,0416666666666667
22;22:00;8;0;0;0,0;3680,0;460,0;10,869467084489871;0,0
